TimeStamp,CAN ID,PGN,Source Address,Signal,Raw Value,Physical Value,BusChannel
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P5CellNTC19,65,25.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P5SN,10,10.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P4CellNTC21,68,28.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P1CellNTC15,62,22.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P5CellNTC18,63,23.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P1CellNTC08,62,22.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P5CellNTC20,63,23.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P4CellNTC19,66,26.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P1CellNTC05,62,22.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P1CellNTC16,62,22.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P5CellNTC21,67,27.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P4CellNTC17,64,24.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P4CellNTC16,64,24.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P4CellNTC20,65,25.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P6SN,12,12.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P5CellNTC03,63,23.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P5CellNTC17,63,23.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P1CellNTC10,61,21.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P5CellNTC12,63,23.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P5CellNTC14,63,23.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P5CellNTC11,62,22.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P1CellNTC11,61,21.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P5CellNTC10,63,23.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P5CellNTC15,63,23.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P5CellNTC04,62,22.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P5CellNTC09,63,23.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P1CellNTC12,62,22.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P5CellNTC07,63,23.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P5CellNTC16,63,23.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P5CellNTC06,64,24.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P1CellNTC09,61,21.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P5CellNTC05,63,23.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P1CellNTC13,61,21.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P5CellNTC08,63,23.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P4CellNTC15,63,23.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P2CellNTC11,58,18.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P4CellNTC14,63,23.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P6CellNTC03,62,22.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P4CellNTC08,63,23.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P1CellNTC17,61,21.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P4CellNTC07,63,23.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P6CellNTC04,61,21.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P4CellNTC06,64,24.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P1CellNTC20,60,20.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P4CellNTC05,63,23.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P6CellNTC05,63,23.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P4CellNTC04,63,23.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P4CellNTC03,63,23.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P1CellNTC21,63,23.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P4CellNTC02,63,23.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P6CellNTC06,63,23.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P5CellNTC13,63,23.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P1CellNTC19,62,22.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P4CellNTC09,63,23.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P1CellNTC06,61,21.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P4CellNTC12,63,23.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P1CellNTC07,62,22.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P4CellNTC13,63,23.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P6CellNTC02,63,23.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P4CellNTC11,63,23.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P6CellNTC01,63,23.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P1CellNTC18,62,22.0,1
2023-08-29 09:04:43.586900+00:00,419367155,65288,243,P4CellNTC10,63,23.0,1
2023-08-29 09:05:43.587700+00:00,419367155,65288,243,P2CellNTC01,58,18.0,1
2023-08-29 09:05:43.587700+00:00,419367155,65288,243,P1CellNTC12,62,22.0,1
2023-08-29 09:05:43.587700+00:00,419367155,65288,243,P1CellNTC03,61,21.0,1
2023-08-29 09:05:43.587700+00:00,419367155,65288,243,P1CellNTC21,63,23.0,1
2023-08-29 09:05:43.587700+00:00,419367155,65288,243,P1CellNTC05,62,22.0,1
2023-08-29 09:05:43.587700+00:00,419367155,65288,243,P1CellNTC10,61,21.0,1
2023-08-29 09:05:43.587700+00:00,419367155,65288,243,P2CellNTC10,58,18.0,1
2023-08-29 09:05:43.587700+00:00,419367155,65288,243,P2CellNTC05,59,19.0,1
2023-08-29 09:05:43.587700+00:00,419367155,65288,243,P2CellNTC04,59,19.0,1
2023-08-29 09:05:43.587700+00:00,419367155,65288,243,P1CellNTC11,61,21.0,1
2023-08-29 09:05:43.587700+00:00,419367155,65288,243,P1CellNTC17,61,21.0,1
2023-08-29 09:05:43.587700+00:00,419367155,65288,243,P1CellNTC01,61,21.0,1
2023-08-29 09:05:43.587700+00:00,419367155,65288,243,P2CellNTC09,58,18.0,1
2023-08-29 09:05:43.587700+00:00,419367155,65288,243,P1CellNTC15,62,22.0,1
